year,prscrbr_geo_lvl,county_fips,county_name,ruca_cd,breakout_type,breakout,prescribers,opioid_prescribers,opioid_claims,total_claims,opioid_rate,rate_5y_chg,rate_1y_chg,la_tot_opioid_clms,la_rate,la_opioid_prscrbng_rate_5y_chg,la_rate_1y_chg
2021,County,01001,Alabama:Autauga,,Totals,Overall,84.0,55.0,22569.0,212800.0,10.61,-0.72,-0.6,2748.0,12.18,-3.48,-1.23
2021,County,01003,Alabama:Baldwin,,Totals,Overall,618.0,382.0,63534.0,1098594.0,5.78,-2.78,-0.25,3227.0,5.08,-7.72,-0.28
2021,County,01005,Alabama:Barbour,,Totals,Overall,32.0,19.0,1338.0,74163.0,1.8,-1.76,-0.21,48.0,3.59,-2.96,0.46
2021,County,01007,Alabama:Bibb,,Totals,Overall,73.0,41.0,3339.0,103718.0,3.22,-0.58,0.18,247.0,7.4,-0.07,0.74
2021,County,01009,Alabama:Blount,,Totals,Overall,40.0,23.0,4750.0,151727.0,3.13,-2.61,0.05,69.0,1.45,-1.63,0.0
2021,County,01011,Alabama:Bullock,,Totals,Overall,8.0,7.0,1101.0,20230.0,5.44,0.68,0.56,20.0,1.82,-1.67,-0.77
2021,County,01013,Alabama:Butler,,Totals,Overall,40.0,22.0,2553.0,95645.0,2.67,-1.57,-0.06,93.0,3.64,-0.26,0.01
2021,County,01015,Alabama:Calhoun,,Totals,Overall,306.0,187.0,42447.0,644485.0,6.59,-0.76,0.33,3508.0,8.26,1.4,0.47
2021,County,01017,Alabama:Chambers,,Totals,Overall,31.0,25.0,8617.0,131376.0,6.56,-1.26,0.43,761.0,8.83,-3.69,-0.57
2021,County,01019,Alabama:Cherokee,,Totals,Overall,48.0,25.0,8072.0,162918.0,4.95,-2.73,-1.02,742.0,9.19,-6.23,-2.53
2021,County,01021,Alabama:Chilton,,Totals,Overall,55.0,34.0,8334.0,172729.0,4.82,-2.5,-0.33,84.0,1.01,-1.47,-0.09
2021,County,01023,Alabama:Choctaw,,Totals,Overall,14.0,10.0,3089.0,70441.0,4.39,-2.99,-0.11,62.0,2.01,-7.08,-0.03
2021,County,01025,Alabama:Clarke,,Totals,Overall,39.0,29.0,8034.0,158850.0,5.06,-0.74,-0.1,186.0,2.32,-2.61,-0.89
2021,County,01027,Alabama:Clay,,Totals,Overall,14.0,11.0,6299.0,98470.0,6.4,-1.62,-0.18,636.0,10.1,-4.84,-0.72
2021,County,01029,Alabama:Cleburne,,Totals,Overall,3.0,3.0,2392.0,34464.0,6.94,-0.78,0.55,151.0,6.31,0.01,-0.13
2021,County,01031,Alabama:Coffee,,Totals,Overall,103.0,68.0,14341.0,221748.0,6.47,-1.41,-0.17,685.0,4.78,-3.77,-1.08
2021,County,01033,Alabama:Colbert,,Totals,Overall,190.0,114.0,36556.0,546232.0,6.69,-0.13,-0.17,1011.0,2.77,-1.9,-0.46
2021,County,01035,Alabama:Conecuh,,Totals,Overall,13.0,11.0,9477.0,105999.0,8.94,-0.57,0.19,254.0,2.68,-2.38,-0.21
2021,County,01037,Alabama:Coosa,,Totals,Overall,3.0,1.0,18.0,4875.0,0.37,-4.03,-0.95,0.0,0.0,0.0,0.0
