Year,Prscrbr_Geo_Lvl,Prscrbr_Geo_Cd,Prscrbr_Geo_Desc,RUCA_Cd,Breakout_Type,Breakout,Tot_Prscrbrs,Tot_Opioid_Prscrbrs,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2020,National,"",National,"",Totals,Overall,1254046,783760,63089468,1495406106,4.22,-1.28,-0.19,6646202,10.53,-2.59,-0.49
2020,National,"",National,"",Rural/Urban,Rural,135610,93661,11144202,257946450,4.32,-1.39,-0.2,1085259.5,9.74,-2.76,-0.57
2020,National,"",National,"",Rural/Urban,Urban,1117151,689299,51910751,1236646099,4.2,-1.25,-0.18,6225988.5,11.99,-2.2,-0.4
2020,State,01,Alabama,"",Totals,Overall,15802,9576,1745736,28178642,6.2,-1.35,-0.28,126040,7.22,-2.97,-0.41
2020,State,02,Alaska,"",Totals,Overall,2824,1810,80501,1693029,4.75,-2.08,-0.15,13323,16.55,-3.42,0.36
2020,State,04,Arizona,"",Totals,Overall,26427,16128,1299090,26247794,4.95,-1.91,-0.34,166918,12.85,-3.68,-0.7
2020,State,05,Arkansas,"",Totals,Overall,9902,7099,954089,17659571,5.4,-0.99,-0.18,68301,7.16,-2.75,-0.47
2020,State,06,California,"",Totals,Overall,130251,78859,5524000,137442284,4.02,-1.23,-0.22,567386,10.27,-2.44,-0.44
2020,State,08,Colorado,"",Totals,Overall,21448,15084,948125,17473582,5.43,-1.91,-0.24,123977,13.08,-3.08,-0.17
2020,State,09,Connecticut,"",Totals,Overall,18099,10408,546409,16656956,3.28,-1.1,-0.15,76317,13.97,-2.82,-0.42
2020,State,10,Delaware,"",Totals,Overall,3789,2469,180493,4373495,4.13,-2.27,-0.1,30569,16.94,-2.7,-0.68
2020,State,11,"District of Columbia","",Totals,Overall,4860,2836,65419,1996782,3.28,-1.15,-0.35,6967,10.65,0.04,0.26
2020,State,12,Florida,"",Totals,Overall,81027,45335,4818601,111639093,4.32,-0.87,-0.15,598097,12.41,-1.69,-0.6
2020,State,13,Georgia,"",Totals,Overall,32823,21402,2423466,46886562,5.17,-0.9,-0.14,232239,9.58,-1.05,-0.48
2020,State,15,Hawaii,"",Totals,Overall,4591,2813,136296,4075292,3.34,-0.56,-0.15,16004,11.74,-2.64,-0.68
2020,State,16,Idaho,"",Totals,Overall,6417,4403,394486,6931999,5.69,-1.79,-0.38,51457,13.04,-3.91,-1
2020,State,17,Illinois,"",Totals,Overall,49077,31598,1957260,51290738,3.82,-0.96,-0.18,151649,7.75,-3.08,-0.45
2020,State,18,Indiana,"",Totals,Overall,23765,16194,1723481,34163839,5.04,-1.33,-0.18,158249,9.18,-3.72,-0.6
2020,State,19,Iowa,"",Totals,Overall,11394,7467,591009,16626548,3.55,-1.16,-0.22,63345,10.72,-3.54,-1.03
2020,State,20,Kansas,"",Totals,Overall,10451,7360,703029,14111871,4.98,-1.1,-0.2,79074,11.25,-3.68,-0.94
2020,State,21,Kentucky,"",Totals,Overall,17117,10134,1482717,29650743,5,-0.73,-0.12,88589,5.97,-3.05,-0.44
2020,State,22,Louisiana,"",Totals,Overall,18701,12536,1298433,26378302,4.92,-0.97,-0.23,91554,7.05,-1.71,-0.3
2020,State,23,Maine,"",Totals,Overall,6525,4115,293751,7001657,4.2,-1.77,-0.2,46581,15.86,-2.78,-0.46
2020,State,24,Maryland,"",Totals,Overall,24618,15148,883641,19537654,4.52,-1.52,-0.24,136329,15.43,-2.12,-0.49
2020,State,25,Massachusetts,"",Totals,Overall,36705,22016,1097831,34134466,3.22,-1.06,-0.04,153402,13.97,-1.73,-0.39
2020,State,26,Michigan,"",Totals,Overall,43398,29932,2471299,50594256,4.88,-2.19,-0.22,253777,10.27,-2.56,-0.66
2020,State,27,Minnesota,"",Totals,Overall,23411,15533,829331,23443118,3.54,-1.64,-0.22,96455,11.63,-3.23,-0.3
2020,State,28,Mississippi,"",Totals,Overall,9850,6944,773042,17337892,4.46,-1.6,-0.08,50467,6.53,-2.24,-0.69
2020,State,29,Missouri,"",Totals,Overall,23184,13952,1669893,35760643,4.67,-1.08,-0.2,154460,9.25,-3.41,-0.85
2020,State,30,Montana,"",Totals,Overall,4460,3059,235562,4535824,5.19,-1.5,-0.19,30033,12.75,-5.13,-0.85
2020,State,31,Nebraska,"",Totals,Overall,7689,5227,376961,9742946,3.87,-0.98,-0.18,49095,13.02,-1.41,-0.27
